ticker,source_run_id,replay_run_id,status,all_artifacts_use_replay_run_id,nested_records_use_replay_run_id,metadata_preserves_source_run_id,identity_consistency,RUN_ID_MISMATCH_count,declared_pairs,admitted_conflicts,suppressed_conflicts,rejected_conflicts,artifact_completeness,provider_calls,database_writes,source_hash_unchanged
NVDA,e434f80b-e4d0-4b09-9471-d84532659de5,replay-20260804T224820Z-ad736163,completed,True,True,True,pass,0,6,3,1,2,pass,0,0,True
SNDK,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,replay-20260804T224831Z-4af219c9,completed,True,True,True,pass,0,6,2,2,2,pass,0,0,True
SNDK,8d21c047-fc0a-4d94-957d-3787f353a544,replay-20260804T224900Z-afe70945,completed,True,True,True,pass,0,6,2,1,3,pass,0,0,True
TSM,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,replay-20260804T224935Z-5848024b,completed,True,True,True,pass,0,6,3,1,2,pass,0,0,True
MSFT,61f3e019-63a8-4c56-b763-057208d5efae,replay-20260804T224948Z-5ea48ea1,completed,True,True,True,pass,0,6,1,1,4,pass,0,0,True
QQQ,a364e0ee-3bb4-4032-88b7-5cd82e379805,replay-20260804T225020Z-b3ef6724,completed,True,True,True,pass,0,6,5,1,0,pass,0,0,True
AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,replay-20260804T225031Z-c618eaf7,completed,True,True,True,pass,0,6,2,0,4,pass,0,0,True
