ticker,run_id,run_type,source_run_id,status,expected_ticker,expected_ticker_source,ticker_consistency,inconsistency_count,foreign_entity_finding_count,required_artifact_count,present_required_artifact_count,artifact_completeness,raw_claim_count,valid_claim_count,evidence_fact_count,graph_nodes,graph_edges,active_alpha_count,dominant_alpha_count,regime_alpha_count,conflict_count,provider_calls,source_hash_unchanged
NVDA,replay-20260804T220700Z-a7f7b8f6,architecture_replay,e434f80b-e4d0-4b09-9471-d84532659de5,,NVDA,metadata,pass,0,0,8,8,pass,652,652,42,12,9,5,0,0,3,0,True
SNDK,replay-20260804T220711Z-b7c215dd,architecture_replay,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,,SNDK,metadata,pass,0,0,8,8,pass,1952,1952,12,7,0,0,0,0,2,0,True
SNDK,replay-20260804T220741Z-1676299f,architecture_replay,8d21c047-fc0a-4d94-957d-3787f353a544,,SNDK,metadata,pass,0,1,8,8,pass,2203,2197,38,11,3,4,0,0,2,0,True
TSM,replay-20260804T220814Z-2857d45b,architecture_replay,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,,TSM,metadata,pass,0,6,8,8,pass,846,845,31,10,11,3,0,0,3,0,True
MSFT,replay-20260804T220827Z-133d1270,architecture_replay,61f3e019-63a8-4c56-b763-057208d5efae,,MSFT,metadata,pass,0,1,8,8,pass,2101,2097,36,8,0,1,0,0,1,0,True
QQQ,replay-20260804T220858Z-a5988559,architecture_replay,a364e0ee-3bb4-4032-88b7-5cd82e379805,,QQQ,metadata,pass,0,3,8,8,pass,712,710,31,13,9,3,0,0,5,0,True
AMD,replay-20260804T220909Z-4ac8059b,architecture_replay,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,,AMD,metadata,pass,0,3,8,8,pass,2214,2200,45,10,0,3,0,0,2,0,True
