ticker,status,source_run_id,replay_run_id,claim_alpha_pair_count,supports_alpha,opposes_alpha,mentions_alpha,neutral_background,supports_counter_alpha,manual_review_required,stance_unknown,declared_pairs,admitted_conflicts,suppressed_conflicts,rejected_conflicts,artifact_completeness,ticker_consistency,stance_effect_applied,provider_calls,database_writes,source_hash
NVDA,OK,e434f80b-e4d0-4b09-9471-d84532659de5,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,3260,384,38,394,2427,17,1563,0,6,3,1,2,pass,pass,False,0,0,d8e0e3f566362b92503f0aaca9d1ab4bba17b8e34b63dfa3a79286de9f6cae7e
QQQ,OK,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,3550,381,72,323,2736,38,1709,0,6,5,1,0,pass,pass,False,0,0,a9fb5a6e1db21784bba998084c70d354546a8fa0a334f7bf7a1953626eea478d
MSFT,OK,0cb43bae-1a4d-4003-bb29-55d420498842,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,4320,469,53,285,3500,13,1804,0,6,2,1,3,pass,pass,False,0,0,2ee44e1d485fcef1a54b06df8e28cfa4ed5023744770ffaa853b08e632e31a9e
SNDK,OK,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,9760,752,120,785,8095,8,3834,0,6,2,2,2,pass,pass,False,0,0,12b6d5818e8cd29822c5a85aa3cf8caaefb161d3120ede69b98922d177ffbc32
TSM,OK,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,4225,443,54,415,3302,11,1757,0,6,3,1,2,pass,pass,False,0,0,5b5160b10a5d2bb0ca6bc8c6cbec17a84475c7762ab8e7ef7866d4146ecb7713
AMD,OK,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,4285,407,64,337,3452,25,1916,0,6,3,2,1,pass,pass,False,0,0,314d74108eaf76d983cba68242a70f88e6b0d5d7d59877a6d58c6d0beabf773a
