ticker_label,source_run_id,replay_run_id,before_claim_count,after_claim_count,claim_count_delta,before_factor_count,after_factor_count,before_candidate_edge_count,after_candidate_edge_count,before_admitted_edge_count,after_admitted_edge_count,new_edge_count,removed_edge_count,unchanged_edge_count,after_conflict_count
MSFT,61f3e019-63a8-4c56-b763-057208d5efae,replay-20260730T185907Z-3b948d8a,660,2097,1437,6,8,0,0,0,0,0,0,0,0
SNDK_latest,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,replay-20260730T185940Z-8838a4d7,632,1952,1320,2,7,0,0,0,0,0,0,0,0
SNDK_older,8d21c047-fc0a-4d94-957d-3787f353a544,replay-20260730T190011Z-c977ccd3,664,2197,1533,8,11,0,3,0,3,3,0,0,0
MU,0ba23540-0623-4d05-a670-098fbbfec1d1,replay-20260730T190044Z-71eab1f1,654,2072,1418,7,10,0,1,0,1,1,0,0,0
NVDA,4ca7dafa-6ac1-4d94-add0-f6f93b1af150,replay-20260730T190116Z-db8094b6,681,2357,1676,10,10,0,0,0,0,0,0,0,0
AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,replay-20260730T190154Z-31912650,669,2200,1531,9,10,0,0,0,0,0,0,0,0
